Country;2017 (€);2018 (€);2019 (€);2017 (U$D);2018 (U$D);2019 (U$D);Total 2017-2019 (Euros);Total 2017-2019 (U$D);;;;;;;;
Ireland; € 280,90 ; € 315,90 ; € 331,80 ; $317,42 ; $373,05 ; $371,38 ; € 928.600.000,00 ; $1.061.761.240,00 ;;;;(MM U$D); $86,54 ; $39,06 ; $20,56 ; $146,16 
Slovakia; € 127,20 ; € 170,60 ; € 218,30 ; $143,74 ; $201,46 ; $244,34 ; € 516.100.000,00 ; $590.108.740,00 ;;;;Euros; € 76.584.070,80 ; € 33.076.467,10 ; € 18.368.623,25 ; € 128.029.161,14 
Croatia; € 146,80 ; € 160,50 ; € 178,50 ; $165,88 ; $189,53 ; $199,80 ; € 485.800.000,00 ; $555.463.720,00 ;;;; (MM Euros) ; € 76,58 ; € 33,07 ; € 18,36 ; € 128,01 
Estonia; € 131,90 ; € 137,40 ; € 162,90 ; $149,05 ; $162,26 ; $182,33 ; € 432.200.000,00 ; $494.177.480,00 ;;;;;;;;
Slovenia; € 119,80 ; € 146,50 ; € 134,60 ; $135,37 ; $173,00 ; $150,66 ; € 400.900.000,00 ; $458.389.060,00 ;;;;;;;;
Lithuania; € 87,90 ; € 99,10 ; € 122,70 ; $99,33 ; $117,03 ; $137,34 ; € 309.700.000,00 ; $354.110.980,00 ;;;;;;;;
Bulgary; € 110,90 ; € 74,50 ; € 83,40 ; $125,32 ; $87,98 ; $93,35 ; € 268.800.000,00 ; $307.345.920,00 ;;;;;;;;
Latvia; € 86,60 ; € 93,40 ; € 76,10 ; $97,86 ; $110,30 ; $85,18 ; € 256.100.000,00 ; $292.824.740,00 ;;;;;;;;
Argentina; € 76,58 ; € 33,07 ; € 18,36 ; $86,54 ; $39,06 ; $20,56 ; € 128.010.000,00 ; $146.160.000,00 ;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
